Program Type,Program,Name,Borough/Community,Agency,Contact Number,Grade Level / Age Group,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 207 ELIZABETH LEARY SCHOOL,Brooklyn,Bergen Beach Youth Organization,(917) 533-3724,Elementary,"4011 FILLMORE AVENUE11234
(40.613321189501, -73.930217634612)",11234,40.613353,-73.930129,18,46,652,3239388,3084840001,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Brooklyn Chinese-American Association,Brooklyn,Brooklyn Chinese-American Association,(718) 438-0008,16+,"6809 20th Avenue11204
(40.614704025531, -73.987710397179)",11204,40.61468,-73.987765,11,47,258,3135071,3055790007,Bensonhurst West                                                           
"NDA Programs,Senior Programs,Older Adult Program",Seniors,BCA Bensonhurst District Office,Brooklyn,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275),(718) 438-0008,Seniors,"6809 20th Avenue11204
(40.614704025531, -73.987710397179)",11204,40.61468,-73.987765,11,47,258,3135071,3055790007,Bensonhurst West                                                           
After-School Programs,Out of School Time,P.S. 205 CLARION SCHOOL,Brooklyn,YMCA of Greater New York/Prospect Park,(718) 234-2655,Elementary,"6701 20th Avenue11204
(40.615329299023, -73.987058002714)",11204,40.61527,-73.987149,11,47,256,3134749,3055710001,Bensonhurst West                                                           
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 236 MILL BASIN SCHOOL,Brooklyn,Bergen Basin Community Development Corp.,(917) 952-0213,Elementary,"6302 AVENUE
U 11234
(40.61636866748, -73.927732249743)",11234,40.615998,-73.912989,18,46,698,3326821,3084640001,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Council of Jewish Organization of Flatbush, Inc.",Brooklyn,St. Raymond Community Outreach,(718) 377-2900,Seniors,"1658 Coney Island Avenue11230
(40.616970915723, -73.963785333505)",11230,40.616964,-73.963703,12,44,454,3173147,3065730016,Ocean Parkway South                                                        
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Council of Jewish Organization of Flatbush, Inc.",Brooklyn,Workforce Development Division,(718) 377-2900,Seniors,"1658 Coney Island Avenue11230
(40.616970915723, -73.963785333505)",11230,40.616964,-73.963703,12,44,454,3173147,3065730016,Ocean Parkway South                                                        
"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrants,"Goodwill Industries of NY & Northern NJ, Refugee and Immigrant Services (Program Site 2)",Brooklyn,Goodwill Industries of Greater New York,718-339-0939 ,Adults,"1222 Avenue
M 11230
(40.61772526252, -73.962279929501)",11230,40.617702,-73.962525,14,48,768,3180783,3067410006,Midwood                                                                    
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Refugee and Immigrant Services,Brooklyn,Harlem Commonwealth Council,(718) 777-6326,Adults,"1222 Ave
M 11230
(40.61772526252, -73.962279929501)",11230,40.617702,-73.962525,14,48,768,3180783,3067410006,Midwood                                                                    
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Refugee and Immigrant Services,Brooklyn,"Guardians of the Sick, Inc.",(718) 777-6326,Adults,"1416 Ave
M 11230
(40.617899964727, -73.960775041287)",11230,40.617962,-73.960396,14,48,768,3180877,3067430006,Midwood                                                                    
"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrats,"Goodwill Industries of Greater New York & Northern NJ, Refugee and Immigrant Services (Program Site 1)",Brooklyn,Goodwill Industries of Greater New York,718- 339-0939 ,Adults,"1416 Avenue
M 11230
(40.617899964727, -73.960775041287)",11230,40.617962,-73.960396,14,48,768,3180877,3067430006,Midwood                                                                    
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Goodwill Industries Greater NY-NJ (Admin & Activity site),Brooklyn,Goodwill Industries of Greater New York,718.339.0937,11+,"1416 Avenue
M (Admin & Activity site 11230
(40.621929510239, -73.965511060187)",11230,40.617962,-73.960396,14,48,768,3180877,3067430006,Midwood                                                                    
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,"285 Vanderbilt Avenue10304
(40.618099835029, -74.080725068218)",10304,40.618105,-74.08066,1,49,29,5014183,5005560019,Stapleton-Rosebank                                                         
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Project COPE / Adult Education,Brooklyn,"Agudath Israel of America Community Services, Inc.",(212) 809-5935 x 104,16+,"1577 Coney Island Avenue11230
(40.619047394551, -73.963997045364)",11230,40.619028,-73.964073,14,44,768,3180584,3067310080,Midwood                                                                    
"Jobs & Internships,Youth Employment",Summer Youth Employment ,"Council of Jewish Organizations of Flatbush, Inc.",Brooklyn,"Council of Jewish Organizations of Flatbush, Inc.",718-252-4446,14 to 24,"1550 Coney Island Avenue11230
(40.619697574375, -73.964314154293)",11230,40.619517,-73.964188,12,44,454,3171988,3065460011,Ocean Parkway South                                                        
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,"Council of Jewish Orgainzations of Flatbush, Inc.",Brooklyn,CAMBA Adult Literacy Center,(718) 377-2900,High School,"1550 Coney Island Avenue11230
(40.619697574375, -73.964314154293)",11230,40.619517,-73.964188,12,44,454,3171988,3065460011,Ocean Parkway South                                                        
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,COJO Flatbush,Brooklyn,Council of Jewish Organizations of Flatbush (COJO),718.377.2900,Adults,"1550 Coney Island Avenue
between L and M avenues 11230
(40.619697574375, -73.964314154293)",11230,40.619517,-73.964188,12,44,454,3171988,3065460011,Ocean Parkway South                                                        
"Family Support,NDA Programs", Housing,"Council of Jewish Orgainzations of Flatbush, Inc.",Brooklyn,MOTT HALL IV (K522),(718) 377-2900,Adults,"1550 Coney Island Avenue11230
(40.619697574375, -73.964314154293)",11230,40.619517,-73.964188,12,44,454,3171988,3065460011,Ocean Parkway South                                                        
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Council of Jewish Orgainzations of Flatbush, Inc.",Brooklyn,St. Raymond Community Outreach,(718) 377-2900,Seniors,"1550 Coney Island Avenue11230
(40.619697574375, -73.964314154293)",11230,40.619517,-73.964188,12,44,454,3171988,3065460011,Ocean Parkway South                                                        
"Jobs & Internships,Youth Employment",Summer Youth Employment ,National Society for Hebrew Day School,Brooklyn,National Society for Hebrew Day School,718-252-4446 ,14 to 24,"1545 Coney Island Avenue11230
(40.6198266572, -73.96413986613)",11230,40.619583,-73.964181,14,44,768,3329237,3067310001,Midwood                                                                    
"After-School Programs,Summer Program,Summer Camp",Out of School Time,I.S. 49 BERTHA DREYFUS SCHOOL,Staten Island,"Jewish Community Center of Staten Island, Inc.",(718) 556-1565,Middle School,"101 Warren Street10304
(40.620641519216, -74.081762427366)",10304,40.620347,-74.081643,1,49,29,5014184,5005560080,Stapleton-Rosebank                                                         
After-School Programs,Out of School Time,Edward R. Murrow HS,Brooklyn,Midwood Development Corporation,(718) 859-3011,High School,"1600 Avenue
L 11230
(40.621929510239, -73.965511060187)",11230,40.620525,-73.959285,14,44,768,3180673,3067340109,Midwood                                                                    
After-School Programs,Out of School Time,I.S. 68 ISAAC BILDERSEE SCHOOL,Brooklyn,"Sesame Flyers International, Inc.",(718) 693-0500,High School,"956 82nd Street11236
(40.635491677837, -73.910761051161)",11228,40.620833,-74.018991,10,43,140,,,Dyker Heights                                                              
After-School Programs,Out of School Time,I.S. 68 ISAAC BILDERSEE SCHOOL,Brooklyn,"Sesame Flyers International, Inc.",(718) 241-3847,Middle School,"956 82nd Street11236
(40.635491677837, -73.910761051161)",11228,40.620833,-74.018991,10,43,140,,,Dyker Heights                                                              
After-School Programs,Out of School Time,I.S. 68 ISAAC BILDERSEE SCHOOL,Brooklyn,"Sesame Flyers International, Inc.",(718) 693-0500,Elementary,"956 82nd Street11236
(40.635491677837, -73.910761051161)",11228,40.620833,-74.018991,10,43,140,,,Dyker Heights                                                              
After-School Programs,Beacon,IS 68,Brooklyn,Sesame Flyers International Inc.,718.241.3847,6 and up,"956 82nd Street11236
(40.635491677837, -73.910761051161)",11228,40.620833,-74.018991,10,43,140,,,Dyker Heights                                                              
After-School Programs,Out of School Time,P.S. 203 FLOYD BENNETT SCHOOL,Brooklyn,Bergen Beach Youth Organization,(917) 538-3776,Elementary,"5101 Avenue
M 11234
(40.61636866748, -73.927732249743)",11234,40.621436,-73.925989,18,46,680,3218626,3078490001,Flatlands                                                                  
After-School Programs,Out of School Time,P.S. 193 GIL HODGES SCHOOL,Brooklyn,Midwood Development Corporation,(718) 859-3011,Elementary,"2515 Avenue
L 11210
(40.627722263871, -73.946537919989)",11210,40.621507,-73.950473,14,45,754,3208461,3076250001,Midwood                                                                    
After-School Programs,Out of School Time,P.S. 48 MAPLETON SCHOOL,Brooklyn,Federation of Italian-American Organizations of Brooklyn,(718) 236-3187,Elementary,"6015 18th Avenue11204
(40.621906421432, -73.987331414887)",11204,40.621871,-73.987396,12,44,244,3132140,3055190001,Borough Park                                                               
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 227 EDWARD B SHALLOW (K227),Brooklyn,Highbridge Gardens,(718) 236-5266,Middle School,"6500 16 AVENUE11204
(40.621991704444, -73.994957377043)",11204,40.62191,-73.995022,11,38,250,3133741,3055510018,Bensonhurst West                                                           
After-School Programs,Out of School Time,I.S. 227 EDWARD SHALLOW SCHOOL,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,(718) 621-3483,Middle School,"6500 16th avenue11204
(40.621991704444, -73.994957377043)",11204,40.62191,-73.995022,11,38,250,3133741,3055510018,Bensonhurst West                                                           
After-School Programs,Out of School Time,P.S. 14 CORNELIUS VANDERBILT S,Staten Island,"Police Athletic League, Inc.",(718) 981-3976,Elementary,"100 Tompkins Avenue10304
(40.622148795416, -74.078376875268)",10304,40.622455,-74.078508,1,49,29,5014176,5005450110,Stapleton-Rosebank                                                         
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Public School 14 - Cornelius Vanderbilt Elementary School,Staten Island,"Police Athletic League, Inc.",212.477.6504,High School,"100 Tompkins Avenue10304
(40.622148795416, -74.078376875268)",10304,40.622455,-74.078508,1,49,29,5014176,5005450110,Stapleton-Rosebank                                                         
After-School Programs,Out of School Time,I.S. 78 ROY H. MANN SCHOOL,Brooklyn,Bergen Basin Community Development Corp.,(917) 952-4893,Middle School,"1420 68th Street11234
(40.621181694094, -73.912860704967)",11219,40.622462,-74.000551,11,43,190,,,Bensonhurst West                                                           
After-School Programs,Out of School Time,I.S. 51 EDWIN MARKHAM SCHOOL,Staten Island,"Sports and Arts In Schools Foundation, Inc.",(718) 442-0235,Middle School,"20 Houston Street10302
(40.622663537396, -74.145309695975)",10302,40.622596,-74.14497,1,50,251,5107210,5014780500,Port Richmond                                                              
After-School Programs,Teen Action Program,I S 051 EDWIN MARKHAM (R051),Staten Island,"Sports and Arts In Schools Foundation, Inc.",347.417.8161,13 to 21,"20 HOUSTON STREET10302
(40.622663537396, -74.145309695975)",10302,40.622596,-74.14497,1,50,251,5107210,5014780500,Port Richmond                                                              
"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA STAPLETON HOUSES,Staten Island,Jewish Community Center of Staten Island @Stapleton Community Center,(718) 981-0500,6 and up,"210 Broad Street10304
(40.623894137006, -74.081557221323)",10304,40.624001,-74.081449,1,49,29,5108859,5005450100,Stapleton-Rosebank                                                         
